family,model_label,assay_id,split,evaluated_rows,train_rows,test_rows,spearman,pearson,rmse,mae
additive,additive,PABP_YEAST_Melamed_2013,epistasis_enriched,7274.0,1187.0,7274.0,0.8862649814062669,0.8823551884098307,1.2732363208632638,1.2665677671325268
additive,additive,PABP_YEAST_Melamed_2013,distance_controlled,0.0,1187.0,0.0,,,,
additive,additive,PHOT_CHLRE_Chen_2023,random,877.0,134023.0,16754.0,-0.1561234587782432,-0.1859106533146315,7.123890632027448,6.828220810237172
additive,additive,PHOT_CHLRE_Chen_2023,single_to_multi,165407.0,2122.0,165407.0,-0.2870376737506205,-0.3047934064575296,9.679837974032225,9.36483064644836
additive,additive,PHOT_CHLRE_Chen_2023,low_to_high_k1,165407.0,2122.0,165407.0,-0.2870376737506205,-0.3047934064575296,9.679837974032225,9.36483064644836
additive,additive,PHOT_CHLRE_Chen_2023,low_to_high_k2,165231.0,2298.0,165231.0,-0.2855857409954673,-0.3025282511035956,9.684867974636166,9.373219261121353
additive,additive,PHOT_CHLRE_Chen_2023,seen_marginal_unseen_combo,165407.0,2122.0,165407.0,-0.2870376737506205,-0.3047934064575296,9.679837974032225,9.36483064644836
additive,additive,PHOT_CHLRE_Chen_2023,epistasis_enriched,33082.0,2122.0,33082.0,0.1041513776589796,0.0344883239989809,12.82806848472495,12.783962423507772
additive,additive,PHOT_CHLRE_Chen_2023,distance_controlled,165231.0,2122.0,165231.0,-0.2855857409954673,-0.3025282511035956,9.684867974636166,9.373219261121353
additive,additive,Q8WTC7_9CNID_Somermeyer_2022,random,1893.0,26808.0,3351.0,0.1759112600927158,0.175436040965501,20784.17274613312,18366.719703869818
additive,additive,Q8WTC7_9CNID_Somermeyer_2022,single_to_multi,30587.0,1201.0,32309.0,0.1567878202767607,0.1523063408601405,22146.69064992989,19541.82795105446
additive,additive,Q8WTC7_9CNID_Somermeyer_2022,low_to_high_k1,30587.0,1201.0,32309.0,0.1567878202767607,0.1523063408601405,22146.69064992989,19541.82795105446
additive,additive,Q8WTC7_9CNID_Somermeyer_2022,low_to_high_k2,19765.0,12461.0,21049.0,0.3098485623905585,0.2507659659398643,26622.341225874985,25049.20007819764
additive,additive,Q8WTC7_9CNID_Somermeyer_2022,seen_marginal_unseen_combo,30587.0,1201.0,30587.0,0.1567878202767607,0.1523063408601405,22146.69064992989,19541.82795105446
additive,additive,Q8WTC7_9CNID_Somermeyer_2022,epistasis_enriched,6118.0,1201.0,6118.0,0.2724329517387798,0.1994933221047179,36712.95486501404,35783.49920211696
additive,additive,Q8WTC7_9CNID_Somermeyer_2022,distance_controlled,19765.0,1201.0,21049.0,0.3098485623905585,0.2507659659398643,26622.341225874985,25049.20007819764
additive,additive,RASK_HUMAN_Weng_2022_abundance,random,1488.0,20809.0,2602.0,0.8638744270718464,0.8517693195605167,0.228450997699259,0.1694317303012744
additive,additive,RASK_HUMAN_Weng_2022_abundance,single_to_multi,22214.0,3066.0,22946.0,0.8558304797418873,0.8359588045537472,0.24821465671757,0.1814823333554244
additive,additive,RASK_HUMAN_Weng_2022_abundance,low_to_high_k1,22214.0,3066.0,22946.0,0.8558304797418873,0.8359588045537472,0.24821465671757,0.1814823333554244
additive,additive,RASK_HUMAN_Weng_2022_abundance,low_to_high_k2,0.0,26012.0,0.0,,,,
additive,additive,RASK_HUMAN_Weng_2022_abundance,seen_marginal_unseen_combo,22214.0,3066.0,22214.0,0.8558304797418873,0.8359588045537472,0.24821465671757,0.1814823333554244
additive,additive,RASK_HUMAN_Weng_2022_abundance,epistasis_enriched,4443.0,3066.0,4443.0,0.6012402158728541,0.5537653555477114,0.4820412182659397,0.451922487580601
